MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,UAP FP,DEM FP,OTH FP,GLApp,GLDis,Comments,,
1985-12-01,Newspoll,,#N/A,46,48,#N/A,#N/A,#N/A,6,0.5,52,40,,,
1986-02-01,Newspoll,,#N/A,40,54,#N/A,#N/A,#N/A,5,1,62,28,,,
1986-04-01,Newspoll,,#N/A,39,54,#N/A,#N/A,#N/A,6,1,59,28,,,
1986-06-01,Newspoll,,#N/A,43,51,#N/A,#N/A,#N/A,5,1,58,32,,,
1986-08-01,Newspoll,,#N/A,46,48,#N/A,#N/A,#N/A,5,1,57,34,,,
1986-10-01,Newspoll,,#N/A,42,48,#N/A,#N/A,#N/A,8,2,60,33,,,
1986-12-01,Newspoll,,#N/A,40,53,#N/A,#N/A,#N/A,5,2,59,32,,,
1987-02-01,Newspoll,,#N/A,41,51,#N/A,#N/A,#N/A,7,1,61,30,,,
1987-04-01,Newspoll,,#N/A,38,57,#N/A,#N/A,#N/A,4,1,65,28,,,
1987-07-01,Newspoll,,#N/A,40,53,#N/A,#N/A,#N/A,5,2,63,32,,,
1987-10-01,Newspoll,,#N/A,40,50,#N/A,#N/A,#N/A,8,2,58,34,,,
1987-11-01,Newspoll,,#N/A,41,50,#N/A,#N/A,#N/A,7,2,53,39,,,
1988-02-01,Newspoll,,#N/A,47,43,#N/A,#N/A,#N/A,9,1,49,43,,,
1988-03-15,F2F Morgan,,#N/A,35,45,#N/A,#N/A,#N/A,,20,,,,,
1988-04-01,Newspoll,,#N/A,43,47,#N/A,#N/A,#N/A,8,2,53,40,,,
1988-04-15,F2F Morgan,,#N/A,37,42,#N/A,#N/A,#N/A,#N/A,21,,,,,
1988-06-01,Newspoll,,#N/A,45,43,#N/A,#N/A,#N/A,9,3,55,39,,,
1988-08-01,Newspoll,,#N/A,43,46,#N/A,#N/A,#N/A,9,2,59,34,,,
1988-09-10,Newspoll,,#N/A,44,47,#N/A,#N/A,#N/A,6,3,59,34,,,
1988-09-17,F2F Morgan,,#N/A,44,50,#N/A,#N/A,#N/A,2,4,,,,,
1988-09-20,Saulwick,,#N/A,42,47,#N/A,#N/A,#N/A,8,3,,,#Date estimated,,
1988-09-24,Newspoll,,#N/A,45,51,#N/A,#N/A,#N/A,3,1,56,37,,,
1988-09-29,Newspoll,,#N/A,43,50,#N/A,#N/A,#N/A,4,3,54,38,,,
1988-12-01,Newspoll,,#N/A,48,44,#N/A,#N/A,#N/A,5,3,56,35,,,
1989-02-01,Newspoll,,#N/A,45.5,45.5,#N/A,#N/A,#N/A,5,4,54,37,,,
1989-04-01,Newspoll,,#N/A,47,43,#N/A,#N/A,#N/A,7,3,54,40,,,
1989-06-01,Newspoll,,#N/A,47,43,#N/A,#N/A,#N/A,7,3,51,40,,,
1989-08-01,Newspoll,,#N/A,47,44,#N/A,#N/A,#N/A,7,2,51,41,,,
1989-10-01,Newspoll,,#N/A,43,45,#N/A,#N/A,#N/A,9,3,47,42,,,
1989-12-01,Newspoll,,#N/A,45,42,#N/A,#N/A,#N/A,9,4,43,48,,,
1990-02-01,Newspoll,,#N/A,47,38,#N/A,#N/A,#N/A,13,2,39,54,,,
1990-04-01,Newspoll,,#N/A,47,36,#N/A,#N/A,#N/A,13,4,32,59,,,
1990-06-01,Newspoll,,#N/A,53,31,#N/A,#N/A,#N/A,13,3,25,68,,,
1990-07-01,Newspoll,,#N/A,55,30,#N/A,#N/A,#N/A,12,3,25,66,,,
1990-08-01,Saulwick,,#N/A,56,23,#N/A,#N/A,#N/A,16,5,18,51,,,
1990-09-01,Newspoll,,#N/A,54,29,#N/A,#N/A,#N/A,14,3,33,30,,,
1990-11-01,Newspoll,,#N/A,61,25,#N/A,#N/A,#N/A,11,3,34,45,,,
1990-12-01,Newspoll,,#N/A,55,25,#N/A,#N/A,#N/A,15,5,35,47,,,
1991-01-15,Morgan F2F,,#N/A,57,24,#N/A,#N/A,#N/A,9,10,,,"#""Morgan Gallup""",,
1991-02-01,Newspoll,,#N/A,57,26,#N/A,#N/A,#N/A,12,5,32,55,,,
1991-04-01,Newspoll,,#N/A,60,25,#N/A,#N/A,#N/A,11,4,32,58,,,
1991-04-24,Saulwick,,#N/A,61,20,#N/A,#N/A,#N/A,#N/A,19,,,,,
1991-04-25,Newspoll,,#N/A,57,28,#N/A,#N/A,#N/A,9,6,35,58,,,
1991-05-11,Newspoll,,#N/A,62,25,#N/A,#N/A,#N/A,11,2,36,57,,,
1991-05-27,Newspoll,,#N/A,50,30,#N/A,#N/A,#N/A,12,8,37,56,,,
1991-05-16,Saulwick,,#N/A,53.4,27,#N/A,#N/A,#N/A,#N/A,19.6,27,37,,,
1991-05-25,Morgan F2F,,#N/A,51,29,#N/A,#N/A,#N/A,#N/A,20,,,,,
1991-08-15,Morgan F2F,,#N/A,52,31,#N/A,#N/A,#N/A,#N/A,17,47,,,,
1991-09-15,Morgan F2F,,#N/A,50.5,33.5,#N/A,#N/A,#N/A,#N/A,16,48,45,"#""Morgan Gallup""",,
1991-10-24,Saulwick,,#N/A,48,30,#N/A,#N/A,#N/A,#N/A,22,33,31,,,
1991-11-22,Saulwick,,#N/A,48,34,#N/A,#N/A,#N/A,#N/A,18,33,28,,,
1991-12-01,Newspoll,,#N/A,52,36,#N/A,#N/A,#N/A,8,12,51,42,,,
1992-01-30,Saulwick,,#N/A,55,30,#N/A,#N/A,#N/A,7,8,28,31,#Only Kirner's net approval given,,
1992-02-01,Newspoll,,#N/A,55,34,#N/A,#N/A,#N/A,#N/A,11,43,51,,,
1992-02-26,Saulwick,,#N/A,54,28,#N/A,#N/A,#N/A,7,11,28,31,,,
1992-04-01,Newspoll,,#N/A,54,31,#N/A,#N/A,#N/A,#N/A,15,35,60,,,
1992-04-02,Saulwick,,#N/A,47,32,#N/A,#N/A,#N/A,#N/A,21,33,33,,,
1992-04-30,Saulwick,,#N/A,43,30,#N/A,#N/A,#N/A,8,19,43,47,#Only Kirner's net approval given,,
1992-05-28,Saulwick,,#N/A,45,25,#N/A,#N/A,#N/A,8,22,,,,,
1992-06-01,Newspoll,,#N/A,55,28,#N/A,#N/A,#N/A,#N/A,17,32,63,,,
1992-07-02,Saulwick,,#N/A,52,21,#N/A,#N/A,#N/A,8,19,21,46,,,
1992-07-30,Saulwick,,#N/A,50,22,#N/A,#N/A,#N/A,10,18,32,62,,,
1992-08-01,Newspoll,,#N/A,50,33,#N/A,#N/A,#N/A,#N/A,17,32,63,,,
1992-08-10,AGB McNair,,#N/A,49,25,#N/A,#N/A,#N/A,#N/A,#N/A,24,55,"#Date estimated, ""Independents"" given as 13",,
1992-08-13,Saulwick,,#N/A,51,24,#N/A,#N/A,#N/A,#N/A,25,38,53,#Only Kirner's net approval given,,
1992-09-01,Saulwick,,#N/A,51,24,#N/A,#N/A,#N/A,5,20,40,52,"#Date estimated, only Kirner's net approval given",,
1992-09-13,Newspoll,,#N/A,53,37,#N/A,#N/A,#N/A,#N/A,10,38,56,,,
1992-09-17,Saulwick,,#N/A,52,35,#N/A,#N/A,#N/A,1,12,,,,,
1992-09-30,Newspoll,,45,51.5,40,#N/A,#N/A,#N/A,#N/A,8.5,43,51,,,
1992-09-30,Morgan Phone,,#N/A,48,38,#N/A,#N/A,#N/A,#N/A,14,,,"#""Morgan Gallup""",,
1992-09-30,Quadrant,,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#Date estimated,,
1992-10-01,Saulwick,,42,53,35,#N/A,#N/A,#N/A,#N/A,12,,,#Alternative TPP of 44 offered,,
1992-10-29,Saulwick,,#N/A,50,36,#N/A,#N/A,#N/A,3,11,38,33,,,
1992-11-01,Newspoll,,#N/A,50,38,#N/A,#N/A,#N/A,#N/A,12,41,44,,,
1992-11-15,F2F Morgan,,#N/A,43,45,#N/A,#N/A,#N/A,#N/A,12,,,,,
1992-12-02,Saulwick,,#N/A,42,40,#N/A,#N/A,#N/A,3,15,30,51,#Approvals estimated from report,,
1992-12-12,F2F Morgan,,#N/A,46,41,#N/A,#N/A,#N/A,#N/A,13,38,54,,,
1993-01-28,Saulwick,,#N/A,44,39,#N/A,#N/A,#N/A,#N/A,17,33,38,,,
1993-02-01,Newspoll,,#N/A,53,37,#N/A,#N/A,#N/A,#N/A,10,46,46,,,
1993-03-31,Saulwick,,#N/A,45,44,#N/A,#N/A,#N/A,#N/A,11,36,40,#Date estimated,,
1993-04-01,Newspoll,,#N/A,43,50,#N/A,#N/A,#N/A,#N/A,7,38,54,,,
1993-06-01,Newspoll,,#N/A,46,45,#N/A,#N/A,#N/A,#N/A,9,39,54,,,
1993-08-01,Newspoll,,#N/A,53,39,#N/A,#N/A,#N/A,#N/A,8,42,48,,,
1993-07-28,Saulwick,,#N/A,48,38,#N/A,#N/A,#N/A,#N/A,14,39,39,,,
1993-09-28,Saulwick,,#N/A,54,29,#N/A,#N/A,#N/A,#N/A,18,44,29,,,
1993-10-01,Newspoll,,#N/A,51,37,#N/A,#N/A,#N/A,#N/A,12,44,47,,,
1993-10-27,Saulwick,,#N/A,57,30,#N/A,#N/A,#N/A,#N/A,13,44,32,,,
1993-12-01,Newspoll,,#N/A,51,39,#N/A,#N/A,#N/A,#N/A,10,46,44,,,
1993-12-03,Saulwick,,#N/A,53,31,#N/A,#N/A,#N/A,#N/A,17,44,32,#Date estimated,,
1994-02-01,Newspoll,,#N/A,47,43,#N/A,#N/A,#N/A,#N/A,10,47,46,,,
1994-02-03,Saulwick,,#N/A,53,33,#N/A,#N/A,#N/A,#N/A,14,47,25,#Date estimated,,
1994-03-02,Saulwick,,#N/A,53,34,#N/A,#N/A,#N/A,#N/A,13,,,,,
1994-04-01,Newspoll,,#N/A,50,40,#N/A,#N/A,#N/A,#N/A,10,45,45,,,
1994-04-05,Saulwick,,#N/A,56,32,#N/A,#N/A,#N/A,#N/A,12,,,,,
1994-04-27,Saulwick,,#N/A,55,34,#N/A,#N/A,#N/A,#N/A,11,50,,,,
1994-06-01,Newspoll,,#N/A,52,40,#N/A,#N/A,#N/A,#N/A,8,47,44,,,
1994-06-10,Saulwick,,41,55,33,#N/A,#N/A,#N/A,#N/A,12,,,#Date estimated,,
1994-06-29,Saulwick,,37,58,30,#N/A,#N/A,#N/A,#N/A,12,,,,,
1994-08-01,Newspoll,,#N/A,53,38,#N/A,#N/A,#N/A,#N/A,9,48,43,,,
1994-07-26,Saulwick,,43,54,35,#N/A,#N/A,#N/A,#N/A,11,51,,,,
1994-08-30,Saulwick,,45,49,34,#N/A,#N/A,#N/A,8,9,44,,,,
1994-09-14,Saulwick,,48,46,38,#N/A,#N/A,#N/A,#N/A,16,,,,,
1994-10-01,Newspoll,,#N/A,50,43,#N/A,#N/A,#N/A,#N/A,7,54,39,,,
1994-10-05,Saulwick,,42,53,36,#N/A,#N/A,#N/A,#N/A,11,56,19,,,
1994-10-10,AGB McNair,,#N/A,44,46,#N/A,#N/A,#N/A,#N/A,10,,,,,
1994-12-01,Newspoll,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,9,47,44,,,
1994-12-01,Saulwick,,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43,29,,,
1995-02-01,Newspoll,,#N/A,51,40,#N/A,#N/A,#N/A,#N/A,9,47,45,,,
1995-02-04,AGB McNair,,#N/A,50,40,2,#N/A,#N/A,5,3,50,43,,,
1995-03-04,AGB McNair,,#N/A,53,39,2,#N/A,#N/A,2,4,49,44,,,
1995-04-01,Newspoll,,#N/A,49,41,#N/A,#N/A,#N/A,#N/A,10,46,44,,,
1995-04-02,AGB McNair,,#N/A,51,39,#N/A,#N/A,#N/A,4,6,53,,#Date estimated,,
1995-05-10,AGB McNair,,#N/A,54,39,#N/A,#N/A,#N/A,3,4,53,40,#Date estimated,,
1995-05-27,AGB McNair,,#N/A,52,40,2,#N/A,#N/A,3,3,54,40,#Date estimated,,
1995-06-01,Newspoll,,#N/A,50,39,#N/A,#N/A,#N/A,#N/A,11,54,38,,,
1995-06-20,AGB McNair,,#N/A,52,41,#N/A,#N/A,#N/A,#N/A,7,54,39,,,
1995-07-22,AGB McNair,,#N/A,57,34,#N/A,#N/A,#N/A,#N/A,9,57,38,,,
1995-08-01,Newspoll,,#N/A,48,41,#N/A,#N/A,#N/A,#N/A,11,49,42,,,
1995-08-16,AGB McNair,,#N/A,50,41,#N/A,#N/A,#N/A,#N/A,9,51,44,#Date estimated,,
1995-09-10,Quadrant,,#N/A,49,41,#N/A,#N/A,#N/A,#N/A,10,,,,,
1995-09-16,AGB McNair,,#N/A,51,39,#N/A,#N/A,#N/A,#N/A,10,,,,,
1995-10-01,Newspoll,,#N/A,51,40,#N/A,#N/A,#N/A,#N/A,9,48,46,,,
1995-10-14,AGB McNair,,#N/A,51,39,#N/A,#N/A,#N/A,#N/A,10,51,44,#Date estimated,,
1995-11-08,Morgan F2F,,48.5,46.5,40.5,#N/A,#N/A,#N/A,#N/A,14,,,,,
1995-11-11,AGB McNair,,#N/A,50,41,#N/A,#N/A,#N/A,#N/A,9,53,43,,,
1995-12-01,Newspoll,,#N/A,48,41,#N/A,#N/A,#N/A,#N/A,11,44,45,,,
1995-12-06,Morgan F2F,,50,45.5,43.5,3.5,#N/A,#N/A,4.5,3,,,,,
1995-12-15,AGB McNair,,#N/A,50,41,#N/A,#N/A,#N/A,#N/A,9,49,47,,,
1996-02-01,Newspoll,,#N/A,51,38,#N/A,#N/A,#N/A,#N/A,11,51,42,,,
1996-01-20,AGB McNair,,45,52,39,#N/A,#N/A,#N/A,#N/A,9,48,45,,,
1996-02-17,AGB McNair,,45,52,39,2,#N/A,#N/A,5,2,52,42,,,
1996-03-06,AGB McNair,,49,50,40,#N/A,#N/A,#N/A,6,4,54,39,,,
1996-03-16,Morgan Phone,,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#Methodology uncertain,,
1996-03-20,AGB McNair,,45,52,40,#N/A,#N/A,#N/A,5,3,,,,,
1996-03-27,Quadrant,,45,53,42,#N/A,#N/A,#N/A,#N/A,5,56,,,,
1996-03-27,AGB McNair,,42,54,37,#N/A,#N/A,#N/A,#N/A,9,58,36,,,
1996-03-28,Newspoll,,#N/A,54,40,#N/A,#N/A,#N/A,#N/A,6,52,39,,,
1996-04-15,Morgan Phone,,44.5,50.5,39,1.5,#N/A,#N/A,6,3,,,#Methodology uncertain,,
1996-05-15,Morgan Phone,,43,51,36.5,3,#N/A,#N/A,7,2.5,,,#Methodology uncertain,,
1996-06-15,Morgan Phone,,50,44.5,42.5,2,#N/A,#N/A,7,4,,,#Methodology uncertain,,
1996-06-22,AGB McNair,,43,53,36,#N/A,#N/A,#N/A,#N/A,11,56,,,,
1996-08-01,Newspoll,,#N/A,52,38,#N/A,#N/A,#N/A,#N/A,10,55,37,,,
1996-10-01,Newspoll,,#N/A,56,34,#N/A,#N/A,#N/A,#N/A,10,57,34,,,
1996-12-01,Newspoll,,#N/A,54,35,#N/A,#N/A,#N/A,#N/A,11,55,37,,,
1997-02-01,Newspoll,,#N/A,51,37,#N/A,#N/A,#N/A,#N/A,12,55,37,,,
1997-04-01,Newspoll,,#N/A,53,35,#N/A,#N/A,#N/A,#N/A,12,55,39,,,
1997-06-01,Newspoll,,#N/A,50,40,#N/A,#N/A,#N/A,#N/A,10,52,40,,,
1997-08-01,Newspoll,,#N/A,51,40,#N/A,#N/A,#N/A,#N/A,9,56,37,,,
1997-09-10,Quadrant,,#N/A,47,43,#N/A,#N/A,#N/A,#N/A,10,55,,#Date estimated,,
1997-10-01,Newspoll,,#N/A,53,35,#N/A,#N/A,#N/A,#N/A,12,57,37,,,
1997-11-12,Nielsen,,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,46,48,,,
1997-12-01,Newspoll,,#N/A,46,43,#N/A,#N/A,#N/A,#N/A,11,45,48,,,
1997-12-18,Taverner,,#N/A,40,52,#N/A,#N/A,#N/A,#N/A,8,44,34,,,
1998-02-01,Newspoll,,#N/A,45,44,#N/A,#N/A,#N/A,#N/A,11,46,45,,,
1998-04-01,Newspoll,,#N/A,41,46,#N/A,#N/A,#N/A,#N/A,13,46,43,,,
1998-06-01,Newspoll,,#N/A,42,44,#N/A,#N/A,#N/A,#N/A,14,47,43,,,
1998-06-20,Nielsen,,50,45,41,#N/A,5,#N/A,#N/A,9,58,,,,
1998-07-15,F2F Morgan,,54,40.5,44,1.5,5.5,#N/A,4,4.5,,,,,
1998-08-01,Newspoll,,#N/A,42,44,#N/A,#N/A,#N/A,#N/A,14,49,39,,,
1998-08-01,Nielsen,,48,46,39,2,7,#N/A,5,2,58,,,,
1998-08-16,F2F Morgan,,52.5,43,43.5,1.5,3.5,#N/A,4,4.5,,,,,
1998-09-16,F2F Morgan,,49.5,46,43,1.5,2,#N/A,4,3.5,,,,,
1998-10-01,Newspoll,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,9,54,36,,,
1998-10-14,F2F Morgan,,47.5,48,40.5,2,1,#N/A,5,3.5,,,,,
1998-10-31,Nielsen,,47,47,42,#N/A,#N/A,#N/A,#N/A,#N/A,60,31,,,
1998-11-15,F2F Morgan,,52,43,44,2.5,2.5,#N/A,4.5,3.5,,,,,
1998-12-01,Newspoll,,#N/A,46,42,#N/A,#N/A,#N/A,#N/A,12,53,36,,,
1998-12-13,F2F Morgan,,45.5,50,38.5,2,1.5,#N/A,5.5,2.5,,,,,
1999-01-20,F2F Morgan,,49.5,45.5,41,2,1,#N/A,7.5,4,,,,,
1999-02-01,Newspoll,,#N/A,51,40,#N/A,#N/A,#N/A,#N/A,9,54,34,,,
1999-02-17,F2F Morgan,,47.5,48,40,2,1.5,#N/A,5,3.5,,,,,
1999-02-28,Nielsen,,46,49,38,#N/A,#N/A,#N/A,#N/A,13,60,32,,,
1999-03-10,F2F Morgan,,48,47,39,3,2.5,#N/A,4.5,4,,,,,
1999-03-28,F2F Morgan,,47,51,39,2,1,#N/A,4,3,,,,,
1999-04-01,Newspoll,,#N/A,51,41,#N/A,#N/A,#N/A,#N/A,8,60,31,,,
1999-04-18,F2F Morgan,,48.5,47,41,2,2,#N/A,4.5,3.5,,,,,
1999-04-20,Nielsen,,46,50,38,#N/A,#N/A,#N/A,#N/A,12,61,,#Date estimated,,
1999-05-15,F2F Morgan,,48.5,47,40.5,2,1,#N/A,5,4.5,,,,,
