MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,UAP FP,DEM FP,OTH FP,GLApp,GLDis,Comments,,
2010-04-01,Newspoll,,52,41,37,14,#N/A,#N/A,#N/A,8,43,45,,,
2010-06-01,Newspoll,,51,36,34,18,#N/A,#N/A,#N/A,12,45,45,,,
2010-06-10,Morgan Phone,,49.5,41,35,13.5,#N/A,#N/A,#N/A,10.5,,,,,
2010-08-01,Newspoll,,55,36,38,17,#N/A,#N/A,#N/A,9,48,41,,,
2010-10-01,Essential,,50,44,38,12,#N/A,#N/A,#N/A,10,,,,,
2010-10-06,Galaxy,,51,43,38,14,#N/A,#N/A,#N/A,5,48,46,,,
2010-10-18,Morgan Phone,,52,42.5,40,13,#N/A,#N/A,#N/A,4.5,,,,,
2010-10-26,Newspoll,,52,40,35,19,#N/A,#N/A,#N/A,6,45,42,,,
2010-10-27,Nielsen,,53,38,38,16,#N/A,#N/A,#N/A,8,51,41,,,
2010-11-11,Nielsen,,52,40,38,16,#N/A,#N/A,#N/A,6,53,40,,,
2010-11-10,Newspoll,,51,44,37,14,#N/A,#N/A,#N/A,5,42,48,,,
2010-11-17,Morgan Phone,,52.5,41.5,39,15.5,#N/A,#N/A,#N/A,4,38,43,,,
2010-11-18,Galaxy,,51,42,36,16,#N/A,#N/A,#N/A,6,,,,,
2010-11-21,JWS Research,,50.1,39,35,19,#N/A,#N/A,#N/A,7,,,,,
2010-11-24,Galaxy,,50,44,36,14,#N/A,#N/A,#N/A,6,,,,,
2010-11-24,Morgan Phone,,49,44.5,35.5,13,#N/A,#N/A,#N/A,7,34,46.5,,,
2010-11-24,Nielsen,,48,45,34,14,#N/A,#N/A,#N/A,7,46,47,,,
2010-11-24,Newspoll,,48,45,33,15,#N/A,#N/A,#N/A,7,38,52,,,
2010-12-01,Morgan Phone,,43,46,32,14,#N/A,#N/A,#N/A,8,,,,,
2011-04-12,Morgan Phone,,43,48,31,11.5,#N/A,#N/A,#N/A,9.5,50.5,23,,,
2011-08-01,Newspoll,,43,48,28,15,#N/A,#N/A,#N/A,9,52,29,,,
2011-10-01,Newspoll,,45,47,30,15,#N/A,#N/A,#N/A,8,52,29,,,
2011-12-01,Newspoll,,49,43,34,15,#N/A,#N/A,#N/A,8,49,33,,,
2012-02-01,Newspoll,,47,45,33,14,#N/A,#N/A,#N/A,8,41,38,,,
2012-03-24,Morgan Phone,,47,45.5,35.5,12.5,#N/A,#N/A,#N/A,6.5,,,,,
2012-04-01,Newspoll,,49,42,32,17,#N/A,#N/A,#N/A,9,38,45,,,
2012-06-09,Morgan Phone,,48,44.5,33.5,15.5,#N/A,#N/A,#N/A,6.5,,,,,
2012-08-01,Newspoll,,50,41,35,13,#N/A,#N/A,#N/A,11,32,50,,,
2012-08-11,Morgan Phone,,47,47,34,11,#N/A,#N/A,#N/A,8,,,,,
2012-10-01,Newspoll,,55,37,41,13,#N/A,#N/A,#N/A,9,31,53,,,#Greens vote estimated from TPP
2012-11-21,JWS Research,,47.9,48,38,9,#N/A,#N/A,#N/A,5,,,,,
2012-11-24,Essential,,50,43,39,11,#N/A,#N/A,#N/A,7,,,,,
2012-12-01,Newspoll,,55,36,38,16,#N/A,#N/A,#N/A,10,33,48,,,
2013-01-25,ReachTEL,,#N/A,37.9,36.8,12.4,#N/A,#N/A,#N/A,12.9,24.9,51.4,,,
2013-02-01,Newspoll,,53,39,38,15,#N/A,#N/A,#N/A,8,31,53,,,
2013-02-22,ReachTEL,,#N/A,44.2,34.9,12.6,#N/A,#N/A,#N/A,8.3,,,,,
2013-03-06,ReachTEL,,49,44.9,36.9,12.3,#N/A,#N/A,#N/A,5.9,,,,,
2013-03-08,Nielsen,,52,41,37,13,#N/A,#N/A,#N/A,9,,,,,
2013-03-15,Essential,,48,45,36,12,#N/A,#N/A,#N/A,7,,,,,
2013-04-01,Newspoll,,50,43,37,12,#N/A,#N/A,#N/A,8,50,19,,,
2013-04-12,ReachTEL,,#N/A,49.5,35.3,11.5,#N/A,#N/A,#N/A,3.7,40.6,21.8,,,
2013-05-16,Essential,,53,38,40,10,#N/A,#N/A,#N/A,12,,,,,
2013-06-01,ReachTEL,,#N/A,43.6,32.5,13.6,#N/A,#N/A,#N/A,10.4,,,,,
2013-06-01,Newspoll,,49,43,35,12,#N/A,#N/A,#N/A,10,53,26,,,
2013-08-01,Newspoll,,51,41,38,13,#N/A,#N/A,#N/A,8,53,31,,,
2013-10-01,Newspoll,,53,39,38,14,#N/A,#N/A,#N/A,9,42,36,,,
2013-11-16,Essential,,52,41,38,13,#N/A,#N/A,#N/A,8,,,,,
2013-11-22,ReachTEL,,51,43.4,35.8,11,#N/A,#N/A,#N/A,9.9,,,,,
2013-11-23,Nielsen,,52,40,38,13,#N/A,#N/A,#N/A,9,,,,,
2013-12-15,Essential,,52,43,40,9,#N/A,#N/A,#N/A,9,,,,,
2014-01-15,Essential,,52,40,40,11,#N/A,2,#N/A,6,,,,,
2014-02-15,Essential,,55,37,42,12,#N/A,2,#N/A,6,,,,,
2014-02-27,Nielsen,,53,41,37,13,#N/A,#N/A,#N/A,9,51,32,,,
2014-02-27,Galaxy,,51,42,39,12,#N/A,#N/A,#N/A,7,,,,,
2014-02-27,Newspoll,,53,38,39,13,#N/A,#N/A,#N/A,10,43,46,,,
2014-03-15,Essential,,50,42,39,9,#N/A,2,#N/A,8,,,,,
2014-04-15,Essential,,51,42,39,11,#N/A,2,#N/A,6,,,,,
2014-05-15,Essential,,53,38,40,10,#N/A,4,#N/A,8,,,,,
2014-06-01,Newspoll,,54,37,38,16,#N/A,#N/A,#N/A,9,44,40,,,
2014-06-15,Essential,,52,41,40,10,#N/A,3,#N/A,6,,,,,
2014-06-21,Nielsen,,56,37,42,14,#N/A,#N/A,#N/A,7,48,37,,,
2014-07-16,Essential,,53,39,41,10,#N/A,4,#N/A,6,,,,,
2014-07-19,Nielsen,,51,41,35,16,#N/A,#N/A,#N/A,8,54,34,,,
2014-08-01,Newspoll,,55,35,37,16,#N/A,#N/A,#N/A,12,40,43,,,
2014-08-15,Galaxy,,52,40,38,12,#N/A,#N/A,#N/A,10,,,,,
2014-08-16,Essential,,52,40,39,11,#N/A,4,#N/A,6,,,,,
2014-09-15,Essential,,52,39,39,11,#N/A,3,#N/A,8,,,,,
2014-09-28,SMS Morgan,,54,37.5,34,18,#N/A,#N/A,#N/A,10.5,,,#Victorian National Parks Association poll,,
2014-10-12,Essential,,54,38,38,16.5,#N/A,#N/A,#N/A,7.5,,,,,
2014-10-15,Essential,,52,39,38,12,#N/A,2,#N/A,9,,,,,
2014-10-23,Galaxy,,52,40,38,13,#N/A,#N/A,#N/A,9,,,,,
2014-10-24,ReachTEL,,53,38.6,37.5,13.3,#N/A,#N/A,#N/A,10.6,29.5,38.5,,,
2014-10-26,SMS Morgan,,52.5,37.5,34,18.5,#N/A,#N/A,#N/A,10,,,,,
2014-10-27,Ipsos,,53,39,37,17,#N/A,#N/A,#N/A,9,47,38,,,
2014-10-29,Newspoll,,54,39,41,13,#N/A,#N/A,#N/A,7,46,41,,,
2014-11-08,Ipsos,,53,39,39,16,#N/A,#N/A,#N/A,6,46,37,,,
2014-11-11,SMS Morgan,,53.5,38,36,18.5,#N/A,#N/A,#N/A,7.5,,,,,
2014-11-13,Essential,,53,40,39,13,#N/A,#N/A,#N/A,8,,,,,
2014-11-14,SMS Morgan,,55,35,35.5,19.5,#N/A,#N/A,#N/A,10,,,,,
2014-11-19,Galaxy,,52,40,39,13,#N/A,#N/A,#N/A,8,,,,,
2014-11-23,SMS Morgan,,52,39.5,33.5,17.5,#N/A,#N/A,#N/A,9.5,,,,,
2014-11-25,Galaxy,,52,40,39,13,#N/A,#N/A,#N/A,8,,,,,
2014-11-26,Newspoll,,52,40,39,12,#N/A,#N/A,#N/A,9,41,45,,,
2014-11-26,Ipsos,,50,42,35,15,#N/A,#N/A,#N/A,8,49,40,,,
2014-11-27,SMS Morgan,,50,44.5,36,13.5,#N/A,#N/A,#N/A,6,,,,,
2014-11-27,ReachTEL,,52,39.7,38.3,13.5,#N/A,#N/A,#N/A,8.5,,,,,
2015-01-27,SMS Morgan,,59,35,45,11.5,#N/A,#N/A,#N/A,8.5,,,,,
2015-02-14,SMS Morgan,,54.5,39.5,41.5,11.5,#N/A,#N/A,#N/A,7.5,,,,,
2015-03-26,SMS Morgan,,56,38,43,12,#N/A,#N/A,#N/A,6.5,,,,,
2015-04-12,SMS Morgan,,54,40,41,11.5,#N/A,#N/A,#N/A,7.5,,,,,
2015-05-23,SMS Morgan,,56.5,38.5,43.5,12.5,#N/A,#N/A,#N/A,5.5,,,,,
2015-06-01,Newspoll,,58,35,41,14,#N/A,#N/A,#N/A,10,51,32,,,
2015-06-20,SMS Morgan,,56.5,38.5,42,13,#N/A,#N/A,#N/A,6.5,,,,,
2015-08-01,SMS Morgan,,56.5,38,41,14,#N/A,#N/A,#N/A,7,,,,,
2015-08-30,SMS Morgan,,57,35.5,39,16.5,#N/A,#N/A,#N/A,9,,,,,
2015-10-12,SMS Morgan,,55.5,39,40,14.5,#N/A,#N/A,#N/A,6.5,,,,,
2015-10-15,Essential,,53,41,36,14,#N/A,#N/A,#N/A,9,,,,,
2015-11-15,Essential,,54,39,38,12,#N/A,#N/A,#N/A,10,,,,,
2015-12-01,Newspoll2,,52,43,39,12,#N/A,#N/A,#N/A,6,43,39,,,
2015-12-04,SMS Morgan,,53.5,40.5,38,13.5,#N/A,#N/A,#N/A,8,,,,,
2015-12-15,Essential,,54,40,41,10,#N/A,#N/A,#N/A,9,,,,,
2016-01-15,Essential,,54,40,39,12,#N/A,#N/A,#N/A,8,,,,,
2016-01-31,SMS Morgan,,53.5,41,39,13,#N/A,#N/A,#N/A,7,,,,,
2016-02-15,Essential,,52,43,37,13,#N/A,#N/A,#N/A,8,,,,,
2016-03-15,Essential,,53,41,39,13,#N/A,#N/A,#N/A,8,,,,,
2016-03-27,SMS Morgan,,55,39,40.5,12,#N/A,#N/A,#N/A,8.5,,,,,
2016-04-15,Essential,,53,41,38,13,#N/A,#N/A,#N/A,8,,,,,
2016-05-15,Essential,,53,41,39,11,#N/A,#N/A,#N/A,10,,,,,
2016-06-16,Essential,,52,42,38,12,#N/A,#N/A,#N/A,9,,,,,
2016-05-27,SMS Morgan,,56,38,40.5,13,#N/A,#N/A,#N/A,8.5,,,,,
2016-08-15,Essential,,53,40,38,12,#N/A,#N/A,#N/A,10,,,,,
2016-08-21,SMS Morgan,,55.5,36,37,13.5,#N/A,#N/A,#N/A,13.5,,,,,
2016-09-01,ReachTEL,,51,40.1,34.6,10.7,#N/A,#N/A,#N/A,14.6,,,,,
2016-10-01,SMS Morgan,,56.5,36,39,13,#N/A,#N/A,#N/A,12,,,,,
2016-10-15,Essential,,52,41,39,11,#N/A,#N/A,#N/A,9,,,,,
2016-11-01,Newspoll2,,53,42,40,12,#N/A,#N/A,#N/A,6,,,,,
2016-11-15,Essential,,53,41,38,11,#N/A,#N/A,#N/A,10,,,,,
2016-11-19,Galaxy,,52,42,37,12,#N/A,#N/A,#N/A,9,,,,,
2016-12-15,Essential,,53,41,38,12,#N/A,#N/A,#N/A,9,,,,,
2017-02-15,Essential,,53,40,39,11,#N/A,#N/A,#N/A,10,,,,,
2017-02-19,Galaxy,,51,41,37,10,8,#N/A,#N/A,4,,,,,
2017-03-07,ReachTEL,,46,39.8,30.3,8,#N/A,#N/A,#N/A,15.7,,,,,
2017-05-15,Essential,,53,41,38,12,#N/A,#N/A,#N/A,9,,,,,
2017-06-01,Galaxy,,47,44,33,8,#N/A,#N/A,#N/A,14,,,,,
2017-07-15,Essential,,51,44,38,11,#N/A,#N/A,#N/A,7,,,,,
2017-08-15,Essential,,52,42,40,10,#N/A,#N/A,#N/A,8,,,,,
2017-09-15,Essential,,54,39,41,10,#N/A,#N/A,#N/A,10,,,,,
2017-10-15,Essential,,53,40,38,11,#N/A,#N/A,#N/A,10,,,,,
2017-11-15,Newspoll2,,51,43,38,10,#N/A,#N/A,#N/A,9,40,47,,,
2017-11-15,Essential,,51,43,37,10,#N/A,#N/A,#N/A,11,,,,,
2017-12-15,Essential,,49,46,37,9,#N/A,#N/A,#N/A,8,,,,,
2017-12-06,Galaxy,,50,41,36,10,6,#N/A,#N/A,7,,,,,
2018-02-18,Newspoll2,,52,39,37,11,6,#N/A,#N/A,7,46,41,,,
2018-04-15,Newspoll2,,51,41,38,11,5,#N/A,#N/A,5,43,47,,,
2018-07-05,ReachTEL,,51,40.8,36.7,10.9,3.7,#N/A,#N/A,7.9,,,,,
2018-08-09,Galaxy,,51,42,38,10,5,#N/A,#N/A,5,,,,,
2018-09-15,Galaxy,,53,40,42,10,#N/A,#N/A,#N/A,8,,,,,
2018-10-03,ReachTEL,,52,39.4,37.7,10.9,#N/A,#N/A,#N/A,12,,,,,
2018-10-26,Galaxy,,53,39,40,12,#N/A,#N/A,#N/A,9,,,,,
2018-10-28,Newspoll2,,54,39,41,11,#N/A,#N/A,#N/A,9,45,40,,,
2018-11-13,ReachTEL,,56,36.8,40.4,10.3,#N/A,#N/A,#N/A,12.5,,,,,
2018-11-21,Galaxy,,53,40,40,11,#N/A,#N/A,#N/A,9,,,,,
2018-11-21,ReachTEL,,54,37.8,40.8,11,#N/A,#N/A,#N/A,10.4,,,,,
2018-11-21,Newspoll2,,53.5,40,41,11,#N/A,#N/A,#N/A,8,45,40,# split between early and on-the-day voters,,
2018-11-23,SMS Morgan,,54,33.5,39.5,12.5,#N/A,#N/A,#N/A,14.5,,,#Date estimated,,
2020-04-24,Newspoll2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75,17,#Date estimated,,
2020-06-26,Newspoll2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67,27,,,
2020-09-09,SMS Morgan,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70,30,,,
2020-09-16,SMS Morgan,,51.5,38.5,37,12,#N/A,#N/A,#N/A,12.5,,,,,
2020-09-15,Redbridge,,54,35.8,39.1,8,#N/A,#N/A,#N/A,17.1,,,,,
2020-09-30,SMS Morgan,,51.5,39.5,39,10,#N/A,#N/A,#N/A,11.5,61,39,,,
2020-10-13,SMS Morgan,,51.5,40,40,9,#N/A,#N/A,#N/A,11,59,41,,,
2020-10-17,Essential,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54,40,,,
2020-10-22,Ipsos,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,33,,,
2020-11-07,Newspoll2,YouGov,55,40,44,11,#N/A,#N/A,#N/A,5,65,32,,,
2020-11-10,SMS Morgan,,58.5,34.5,45,11,#N/A,#N/A,#N/A,9.5,71,29,,,
2021-06-04,ResolvePM,,#N/A,36,37,9,#N/A,#N/A,#N/A,17,42,32,,,
2021-06-15,Redbridge,,52.4,41,37,12,#N/A,#N/A,#N/A,10,,,,,
2021-08-04,ResolvePM,,#N/A,35,40,10,#N/A,#N/A,#N/A,15,,,,,
2021-10-04,ResolvePM,,#N/A,34,38,10,#N/A,#N/A,#N/A,18,,,,,
2021-11-11,SMS Morgan,,58,31,43,11,#N/A,3,#N/A,10,60.5,39.5,,,
2021-11-17,Newspoll2,,58,36,44,11,#N/A,#N/A,#N/A,9,56,42,,,
2021-11-24,SMS Morgan,,59.5,29,45,10.5,#N/A,4,#N/A,11.5,63.5,36.5,,,
2021-12-15,ResolvePM,,#N/A,31,41,11,#N/A,#N/A,#N/A,17,,,,,
2022-04-03,ResolvePM,,#N/A,33,37,10,#N/A,#N/A,#N/A,21,,,,,
2022-07-01,SMS Morgan,,59.5,29.5,43.5,12,#N/A,2,#N/A,13,,,,,
2022-08-12,SMS Morgan,,60.5,27.5,40.5,14,#N/A,2,#N/A,16,,,,,
2022-08-24,Newspoll2,,56,36,41,13,#N/A,#N/A,#N/A,10,54,41,,,
2022-09-03,Essential,,#N/A,36.5,40.1,11.6,#N/A,#N/A,#N/A,11.8,,,,,
2022-08-15,Morgan multi-mode,,58,29,36.5,14,2,0.5,#N/A,18,,,,,
2022-09-04,ResolvePM,,#N/A,28,42,12,#N/A,#N/A,#N/A,18,,,,,
2022-09-15,Morgan multi-mode,,60,28,42,14.5,2,1,#N/A,12.5,,,,,
2022-10-15,Morgan multi-mode,,60.5,27.5,42.5,14,2,0.5,#N/A,13.5,,,,,
2022-10-23,ResolvePM,,59,31,38,12,#N/A,#N/A,#N/A,18,,,,,
2022-11-02,Newspoll2,,54,37,37,13,#N/A,#N/A,#N/A,13,51,44,,,
2022-11-05,Freshwater,,56,34,37,14,#N/A,#N/A,#N/A,15,39,48,,,
2022-11-10,SMS Morgan,,57,29,40,11.5,#N/A,0.5,#N/A,19,,,,,
2022-11-03,Redbridge,,53.5,35.5,36.7,13.2,#N/A,#N/A,#N/A,14.5,,,,,
2022-11-18,ResolvePM,,52.7,35.8,36.2,10.1,#N/A,#N/A,#N/A,17.9,,,,,
2022-11-23,SMS Morgan,,55,32.5,38,12.5,#N/A,#N/A,#N/A,17,57.5,42.5,,,
2022-11-23,Newspoll2,,54.5,35,38,12,#N/A,#N/A,#N/A,15,46,48,#Only net approval ratings available. This and subsequent polls are given assuming undecided is either 10% or 11%.,,
2023-02-01,ResolvePM,,#N/A,30,41,13,#N/A,#N/A,#N/A,17,49,41,,,
2023-04-01,ResolvePM,,#N/A,30,42,10,#N/A,#N/A,#N/A,17,46,43,,,
2023-05-20,SMS Morgan,,61.5,28.5,42,12.5,#N/A,#N/A,#N/A,17,52.5,47.5,,,
2023-06-01,ResolvePM,,#N/A,26,41,15,#N/A,#N/A,#N/A,18,45,44,,,
2023-07-20,SMS Morgan,,53,35.5,33,12.5,#N/A,#N/A,#N/A,19,45,55,,,
2023-08-01,ResolvePM,,#N/A,28,39,13,#N/A,#N/A,#N/A,20,41,48,,,
2023-09-15,Redbridge,,56.5,34,37,13,#N/A,#N/A,#N/A,16,,,,,
2023-10-01,ResolvePM,,#N/A,32,39,12,#N/A,#N/A,#N/A,17,,,,,
2023-12-01,ResolvePM,,#N/A,31,37,11,#N/A,#N/A,#N/A,20,,,,,
2023-12-15,Redbridge,,55.8,36,37,13,#N/A,#N/A,#N/A,14,,,,,
